"_attachments","_etag","_rid","_self","_ts","ambientTemperature","batteryAdcVoltage","batteryLevel","dataTransferIsOngoing","hmtTemperature","humidity","hydraulicBalancingIsEffective","id","isDirectMotorControlActive","isMotorCalibrated","motorPosition","motorPositionConstraint","publishedAt","rawAmbientTemperature","rotaryEncoder","targetTemperature","targetTemperatureLevel","targetTemperatureTag","taxonomyItemId","tegVoltage","thermostatId","valveOpenness"
attachments/,"""0200055d-0000-0d00-0000-67f7169d0000""",LHocAPPPqmV2kyYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmV2kyYAAAAAAA==/,1744246429,19.2,,,false,,61,false,8c1f64ddb0000155-20250410005119178614,false,true,0,772,2025-04-10T00:51:19.178614Z,19.6,,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""0200dd5d-0000-0d00-0000-67f718f70000""",LHocAPPPqmXbkyYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmXbkyYAAAAAAA==/,1744247031,19.2,3.16,18,false,,61,false,8c1f64ddb0000155-20250410005620712170,false,true,0,772,2025-04-10T00:56:20.712170Z,19.7,3,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""0200de5d-0000-0d00-0000-67f718f70000""",LHocAPPPqmXckyYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmXckyYAAAAAAA==/,1744247031,19.2,3.16,18,false,,60,false,8c1f64ddb0000155-20250410005850712170,false,true,0,772,2025-04-10T00:58:50.712170Z,19.7,3,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""0200e05d-0000-0d00-0000-67f718f70000""",LHocAPPPqmXdkyYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmXdkyYAAAAAAA==/,1744247031,19.2,3.16,18,false,,60,false,8c1f64ddb0000155-20250410010120712170,false,true,0,772,2025-04-10T01:01:20.712170Z,19.7,3,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""0200e35d-0000-0d00-0000-67f718f70000""",LHocAPPPqmXekyYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmXekyYAAAAAAA==/,1744247031,19.2,3.16,18,false,21.5,60,false,8c1f64ddb0000155-20250410010350712170,false,true,0,772,2025-04-10T01:03:50.712170Z,19.8,3,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""0200e95e-0000-0d00-0000-67f71b4c0000""",LHocAPPPqmVDlCYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmVDlCYAAAAAAA==/,1744247628,19.2,,,false,,60,false,8c1f64ddb0000155-20250410010618523155,false,true,0,772,2025-04-10T01:06:18.523155Z,19.8,,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""0200ea5e-0000-0d00-0000-67f71b4c0000""",LHocAPPPqmVElCYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmVElCYAAAAAAA==/,1744247628,19.2,,,false,,60,false,8c1f64ddb0000155-20250410010848523155,false,true,0,772,2025-04-10T01:08:48.523155Z,19.8,,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""0200eb5e-0000-0d00-0000-67f71b4d0000""",LHocAPPPqmVFlCYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmVFlCYAAAAAAA==/,1744247629,19.2,,,false,,60,false,8c1f64ddb0000155-20250410011118523155,false,true,0,772,2025-04-10T01:11:18.523155Z,19.8,,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""0200ec5e-0000-0d00-0000-67f71b4d0000""",LHocAPPPqmVGlCYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmVGlCYAAAAAAA==/,1744247629,19.2,,,false,21.6,60,false,8c1f64ddb0000155-20250410011348523155,false,true,0,772,2025-04-10T01:13:48.523155Z,19.9,,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
attachments/,"""02008260-0000-0d00-0000-67f71da60000""",LHocAPPPqmWrlCYAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWrlCYAAAAAAA==/,1744248230,19.2,,,false,,60,false,8c1f64ddb0000155-20250410011849965366,false,true,0,772,2025-04-10T01:18:49.965366Z,19.9,,15,4,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0600,8c1f64ddb0000155,0
